year,exporter_iso3_code,sector,value,region,country
2002,AGO,Art & Collectibles,14.601329,Africa,Angola
2002,AGO,Base Metals,85.550515,Africa,Angola
2002,AGO,Energy & Minerals,8696452.802458,Africa,Angola
2002,AGO,Industrial Equipment & Technology,7868.255381,Africa,Angola
2002,BDI,Chemical & Pharmaceutical,94.973927,Africa,Burundi
2002,BDI,Industrial Equipment & Technology,2158.100921,Africa,Burundi
2002,BDI,Textile & Apparel Manufacturing,25.459259,Africa,Burundi
2002,BEN,Agricultural & Foods,1130.072602,Africa,Benin
2002,BEN,Art & Collectibles,35.222485,Africa,Benin
2002,BEN,Consumer Goods & Crafts,277.511653,Africa,Benin
2002,BEN,Textile & Apparel Manufacturing,1.724165,Africa,Benin
2002,BFA,Agricultural & Foods,20.453513,Africa,Burkina Faso
2002,BFA,Art & Collectibles,567.023774,Africa,Burkina Faso
2002,BFA,Base Metals,95.547296,Africa,Burkina Faso
2002,BFA,Chemical & Pharmaceutical,4.354345,Africa,Burkina Faso
2002,BFA,Consumer Goods & Crafts,4717.078216,Africa,Burkina Faso
2002,BFA,Industrial Equipment & Technology,42.42711,Africa,Burkina Faso
2002,BFA,Textile & Apparel Manufacturing,264.710684,Africa,Burkina Faso
2002,BWA,Agricultural & Foods,79.809718,Africa,Botswana
2002,BWA,Art & Collectibles,10.534109,Africa,Botswana
2002,BWA,Base Metals,41.821703,Africa,Botswana
2002,BWA,Chemical & Pharmaceutical,11.603446,Africa,Botswana
2002,BWA,Consumer Goods & Crafts,43392.910078,Africa,Botswana
2002,BWA,Textile & Apparel Manufacturing,12455.890241,Africa,Botswana
2002,CAF,Agricultural & Foods,1264.090742,Africa,Central African Republic
2002,CAF,Art & Collectibles,15.772983,Africa,Central African Republic
2002,CAF,Base Metals,7.013488,Africa,Central African Republic
2002,CAF,Consumer Goods & Crafts,3681.631047,Africa,Central African Republic
2002,CAF,Industrial Equipment & Technology,314.034995,Africa,Central African Republic
2002,CAF,Textile & Apparel Manufacturing,55.968648,Africa,Central African Republic
2002,CIV,Agricultural & Foods,572933.042835,Africa,Côte d'Ivoire
2002,CIV,Art & Collectibles,2449.776681,Africa,Côte d'Ivoire
2002,CIV,Base Metals,7307.40498,Africa,Côte d'Ivoire
2002,CIV,Chemical & Pharmaceutical,6023.386229,Africa,Côte d'Ivoire
2002,CIV,Consumer Goods & Crafts,25623.364179,Africa,Côte d'Ivoire
2002,CIV,Energy & Minerals,156931.411606,Africa,Côte d'Ivoire
2002,CIV,Industrial Equipment & Technology,7922.214111,Africa,Côte d'Ivoire
2002,CIV,Textile & Apparel Manufacturing,814.486761,Africa,Côte d'Ivoire
2002,CMR,Agricultural & Foods,29185.596874,Africa,Cameroon
2002,CMR,Art & Collectibles,948.687275,Africa,Cameroon
2002,CMR,Base Metals,404.114525,Africa,Cameroon
2002,CMR,Chemical & Pharmaceutical,6513.156146,Africa,Cameroon
2002,CMR,Consumer Goods & Crafts,20475.415856,Africa,Cameroon
2002,CMR,Energy & Minerals,275353.959204,Africa,Cameroon
2002,CMR,Industrial Equipment & Technology,5242.239528,Africa,Cameroon
2002,CMR,Textile & Apparel Manufacturing,2469.73672,Africa,Cameroon
2002,COD,Agricultural & Foods,4140.923761,Africa,DR Congo
2002,COD,Art & Collectibles,7712.405542,Africa,DR Congo
2002,COD,Base Metals,9043.516878,Africa,DR Congo
2002,COD,Chemical & Pharmaceutical,747.997236,Africa,DR Congo
2002,COD,Consumer Goods & Crafts,70053.092789,Africa,DR Congo
2002,COD,Energy & Minerals,410036.796419,Africa,DR Congo
2002,COD,Industrial Equipment & Technology,636.81561,Africa,DR Congo
2002,COD,Textile & Apparel Manufacturing,69.805288,Africa,DR Congo
2002,COG,Agricultural & Foods,11270.837898,Africa,Congo Republic
2002,COG,Art & Collectibles,1927.17818,Africa,Congo Republic
2002,COG,Chemical & Pharmaceutical,164.093668,Africa,Congo Republic
2002,COG,Consumer Goods & Crafts,46289.947679,Africa,Congo Republic
2002,COG,Energy & Minerals,515107.452527,Africa,Congo Republic
2002,COG,Industrial Equipment & Technology,688.626088,Africa,Congo Republic
2002,COG,Textile & Apparel Manufacturing,24.594758,Africa,Congo Republic
2002,COM,Agricultural & Foods,90.754778,Africa,Comoros
2002,COM,Chemical & Pharmaceutical,83.5853,Africa,Comoros
2002,COM,Consumer Goods & Crafts,66.289312,Africa,Comoros
2002,COM,Industrial Equipment & Technology,9947.768128,Africa,Comoros
2002,CPV,Agricultural & Foods,74.349103,Africa,Cabo Verde
2002,CPV,Chemical & Pharmaceutical,16.580426,Africa,Cabo Verde
2002,CPV,Consumer Goods & Crafts,91.968529,Africa,Cabo Verde
2002,CPV,Industrial Equipment & Technology,44.662025,Africa,Cabo Verde
2002,CPV,Textile & Apparel Manufacturing,2448.665841,Africa,Cabo Verde
2002,DJI,Agricultural & Foods,45.330401,Africa,Djibouti
2002,DJI,Chemical & Pharmaceutical,30.042762,Africa,Djibouti
2002,DJI,Consumer Goods & Crafts,15.470264,Africa,Djibouti
2002,DJI,Industrial Equipment & Technology,214.794995,Africa,Djibouti
2002,DZA,Agricultural & Foods,238.927788,Africa,Algeria
2002,DZA,Art & Collectibles,317.213681,Africa,Algeria
2002,DZA,Base Metals,10763.271141,Africa,Algeria
2002,DZA,Chemical & Pharmaceutical,34736.075166,Africa,Algeria
2002,DZA,Consumer Goods & Crafts,586.754954,Africa,Algeria
2002,DZA,Energy & Minerals,5996620.601688,Africa,Algeria
2002,DZA,Industrial Equipment & Technology,4181.951658,Africa,Algeria
2002,DZA,Textile & Apparel Manufacturing,2.840426,Africa,Algeria
2002,EGY,Agricultural & Foods,30101.651622,Africa,Egypt
2002,EGY,Art & Collectibles,13020.45012,Africa,Egypt
2002,EGY,Base Metals,192958.769923,Africa,Egypt
2002,EGY,Chemical & Pharmaceutical,28731.747685,Africa,Egypt
2002,EGY,Consumer Goods & Crafts,57558.941101,Africa,Egypt
2002,EGY,Energy & Minerals,408000.525,Africa,Egypt
2002,EGY,Industrial Equipment & Technology,11708.145517,Africa,Egypt
2002,EGY,Textile & Apparel Manufacturing,866193.503135,Africa,Egypt
2002,ERI,Art & Collectibles,,Africa,Eritrea
2002,ERI,Chemical & Pharmaceutical,,Africa,Eritrea
2002,ERI,Consumer Goods & Crafts,,Africa,Eritrea
2002,ERI,Industrial Equipment & Technology,,Africa,Eritrea
2002,ERI,Textile & Apparel Manufacturing,,Africa,Eritrea
2002,ETH,Agricultural & Foods,37954.797198,Africa,Ethiopia
2002,ETH,Art & Collectibles,25.662087,Africa,Ethiopia
2002,ETH,Base Metals,18.963037,Africa,Ethiopia
2002,ETH,Chemical & Pharmaceutical,23.866408,Africa,Ethiopia
2002,ETH,Consumer Goods & Crafts,1857.785585,Africa,Ethiopia
2002,ETH,Industrial Equipment & Technology,29259.079889,Africa,Ethiopia
2002,ETH,Textile & Apparel Manufacturing,3914.107667,Africa,Ethiopia
2002,GAB,Agricultural & Foods,1542.047823,Africa,Gabon
2002,GAB,Art & Collectibles,4089.270622,Africa,Gabon
2002,GAB,Base Metals,15.932059,Africa,Gabon
2002,GAB,Consumer Goods & Crafts,16307.131029,Africa,Gabon
2002,GAB,Energy & Minerals,3786897.896467,Africa,Gabon
2002,GAB,Industrial Equipment & Technology,200.26637,Africa,Gabon
2002,GAB,Textile & Apparel Manufacturing,828.814755,Africa,Gabon
2002,GHA,Agricultural & Foods,47847.533877,Africa,Ghana
2002,GHA,Art & Collectibles,438.420087,Africa,Ghana
2002,GHA,Base Metals,24564.405169,Africa,Ghana
2002,GHA,Chemical & Pharmaceutical,1485.45198,Africa,Ghana
2002,GHA,Consumer Goods & Crafts,80834.241752,Africa,Ghana
2002,GHA,Energy & Minerals,44485.572535,Africa,Ghana
2002,GHA,Industrial Equipment & Technology,702.97414,Africa,Ghana
2002,GHA,Textile & Apparel Manufacturing,1119.92279,Africa,Ghana
2002,GIN,Agricultural & Foods,603.642797,Africa,Guinea
2002,GIN,Art & Collectibles,88.679791,Africa,Guinea
2002,GIN,Base Metals,157.412225,Africa,Guinea
2002,GIN,Chemical & Pharmaceutical,335.223823,Africa,Guinea
2002,GIN,Consumer Goods & Crafts,43411.249298,Africa,Guinea
2002,GIN,Energy & Minerals,135703.511416,Africa,Guinea
2002,GIN,Industrial Equipment & Technology,2623.800038,Africa,Guinea
2002,GIN,Textile & Apparel Manufacturing,146.672511,Africa,Guinea
2002,GMB,Agricultural & Foods,10.470041,Africa,Gambia
2002,GMB,Chemical & Pharmaceutical,71.224754,Africa,Gambia
2002,GMB,Consumer Goods & Crafts,53.597155,Africa,Gambia
2002,GMB,Industrial Equipment & Technology,220.722505,Africa,Gambia
2002,GMB,Textile & Apparel Manufacturing,55.1873,Africa,Gambia
2002,GNB,Agricultural & Foods,63.581991,Africa,Guinea-Bissau
2002,GNB,Industrial Equipment & Technology,17.490965,Africa,Guinea-Bissau
2002,GNQ,Agricultural & Foods,40.413283,Africa,Equatorial Guinea
2002,GNQ,Art & Collectibles,2148.663048,Africa,Equatorial Guinea
2002,GNQ,Chemical & Pharmaceutical,242620.116973,Africa,Equatorial Guinea
2002,GNQ,Consumer Goods & Crafts,229.361249,Africa,Equatorial Guinea
2002,GNQ,Energy & Minerals,1827377.535318,Africa,Equatorial Guinea
2002,GNQ,Industrial Equipment & Technology,224.831702,Africa,Equatorial Guinea
2002,KEN,Agricultural & Foods,18182.108285,Africa,Kenya
2002,KEN,Art & Collectibles,858.66527,Africa,Kenya
2002,KEN,Base Metals,5862.687516,Africa,Kenya
2002,KEN,Chemical & Pharmaceutical,12751.743397,Africa,Kenya
2002,KEN,Consumer Goods & Crafts,16092.046927,Africa,Kenya
2002,KEN,Energy & Minerals,0.127135,Africa,Kenya
2002,KEN,Industrial Equipment & Technology,66176.681233,Africa,Kenya
2002,KEN,Textile & Apparel Manufacturing,318661.022038,Africa,Kenya
2002,LBR,Agricultural & Foods,205.222982,Africa,Liberia
2002,LBR,Art & Collectibles,1556.090777,Africa,Liberia
2002,LBR,Base Metals,96.420507,Africa,Liberia
2002,LBR,Chemical & Pharmaceutical,135535.436296,Africa,Liberia
2002,LBR,Consumer Goods & Crafts,954.310933,Africa,Liberia
2002,LBR,Industrial Equipment & Technology,1599.400588,Africa,Liberia
2002,LBR,Textile & Apparel Manufacturing,64.51799,Africa,Liberia
2002,LSO,Chemical & Pharmaceutical,560.282368,Africa,Lesotho
2002,LSO,Textile & Apparel Manufacturing,649210.342642,Africa,Lesotho
2002,MAR,Agricultural & Foods,88191.239074,Africa,Morocco
2002,MAR,Art & Collectibles,1663.764948,Africa,Morocco
2002,MAR,Base Metals,47101.807874,Africa,Morocco
2002,MAR,Chemical & Pharmaceutical,13741.401004,Africa,Morocco
2002,MAR,Consumer Goods & Crafts,27388.203945,Africa,Morocco
2002,MAR,Energy & Minerals,198354.714554,Africa,Morocco
2002,MAR,Industrial Equipment & Technology,171550.782225,Africa,Morocco
2002,MAR,Textile & Apparel Manufacturing,133600.835751,Africa,Morocco
2002,MDG,Agricultural & Foods,10038.266243,Africa,Madagascar
2002,MDG,Art & Collectibles,252.37018,Africa,Madagascar
2002,MDG,Base Metals,463.114439,Africa,Madagascar
2002,MDG,Chemical & Pharmaceutical,383.68999,Africa,Madagascar
2002,MDG,Consumer Goods & Crafts,3070.16833,Africa,Madagascar
2002,MDG,Energy & Minerals,2117.427445,Africa,Madagascar
2002,MDG,Industrial Equipment & Technology,188845.975456,Africa,Madagascar
2002,MDG,Textile & Apparel Manufacturing,158212.370258,Africa,Madagascar
2002,MLI,Agricultural & Foods,494.857919,Africa,Mali
2002,MLI,Art & Collectibles,1916.544192,Africa,Mali
2002,MLI,Base Metals,17.850316,Africa,Mali
2002,MLI,Chemical & Pharmaceutical,16.861572,Africa,Mali
2002,MLI,Consumer Goods & Crafts,1101.631546,Africa,Mali
2002,MLI,Industrial Equipment & Technology,1550.266287,Africa,Mali
2002,MLI,Textile & Apparel Manufacturing,378.895817,Africa,Mali
2002,MOZ,Agricultural & Foods,7606.945811,Africa,Mozambique
2002,MOZ,Art & Collectibles,44.710042,Africa,Mozambique
2002,MOZ,Base Metals,1083.812312,Africa,Mozambique
2002,MOZ,Chemical & Pharmaceutical,1115.10288,Africa,Mozambique
2002,MOZ,Consumer Goods & Crafts,223.712345,Africa,Mozambique
2002,MOZ,Energy & Minerals,1072.688553,Africa,Mozambique
2002,MOZ,Industrial Equipment & Technology,349.914385,Africa,Mozambique
2002,MOZ,Textile & Apparel Manufacturing,652.620933,Africa,Mozambique
2002,MRT,Base Metals,37.06058,Africa,Mauritania
2002,MRT,Chemical & Pharmaceutical,327.920171,Africa,Mauritania
2002,MRT,Industrial Equipment & Technology,453.316661,Africa,Mauritania
2002,MRT,Textile & Apparel Manufacturing,1075.365328,Africa,Mauritania
2002,MUS,Agricultural & Foods,14851.879332,Africa,Mauritius
2002,MUS,Art & Collectibles,12.431028,Africa,Mauritius
2002,MUS,Base Metals,527.781479,Africa,Mauritius
2002,MUS,Chemical & Pharmaceutical,12951.119864,Africa,Mauritius
2002,MUS,Consumer Goods & Crafts,14199.282961,Africa,Mauritius
2002,MUS,Energy & Minerals,25.573616,Africa,Mauritius
2002,MUS,Industrial Equipment & Technology,8231.988361,Africa,Mauritius
2002,MUS,Textile & Apparel Manufacturing,441669.422875,Africa,Mauritius
2002,MWI,Agricultural & Foods,48625.423471,Africa,Malawi
2002,MWI,Base Metals,727.203249,Africa,Malawi
2002,MWI,Chemical & Pharmaceutical,35.71483,Africa,Malawi
2002,MWI,Consumer Goods & Crafts,62.684748,Africa,Malawi
2002,MWI,Industrial Equipment & Technology,10386.684913,Africa,Malawi
2002,MWI,Textile & Apparel Manufacturing,11094.437542,Africa,Malawi
2002,NAM,Agricultural & Foods,91.662706,Africa,Namibia
2002,NAM,Art & Collectibles,60.03627,Africa,Namibia
2002,NAM,Base Metals,23488.814735,Africa,Namibia
2002,NAM,Chemical & Pharmaceutical,14462.882938,Africa,Namibia
2002,NAM,Consumer Goods & Crafts,1488.240351,Africa,Namibia
2002,NAM,Energy & Minerals,64058.546286,Africa,Namibia
2002,NAM,Industrial Equipment & Technology,502.406376,Africa,Namibia
2002,NAM,Textile & Apparel Manufacturing,14728.02959,Africa,Namibia
2002,NER,Agricultural & Foods,16966.715482,Africa,Niger
2002,NER,Art & Collectibles,406.878679,Africa,Niger
2002,NER,Base Metals,0.252257,Africa,Niger
2002,NER,Chemical & Pharmaceutical,364.040099,Africa,Niger
2002,NER,Consumer Goods & Crafts,152.646792,Africa,Niger
2002,NER,Energy & Minerals,16.441727,Africa,Niger
2002,NER,Industrial Equipment & Technology,1080.566041,Africa,Niger
2002,NER,Textile & Apparel Manufacturing,12338.590156,Africa,Niger
2002,NGA,Agricultural & Foods,9777.380621,Africa,Nigeria
2002,NGA,Art & Collectibles,1278.850263,Africa,Nigeria
2002,NGA,Base Metals,129.205085,Africa,Nigeria
2002,NGA,Chemical & Pharmaceutical,1683.911625,Africa,Nigeria
2002,NGA,Consumer Goods & Crafts,1732.613294,Africa,Nigeria
2002,NGA,Energy & Minerals,4442022.601554,Africa,Nigeria
2002,NGA,Industrial Equipment & Technology,1782.494515,Africa,Nigeria
2002,NGA,Textile & Apparel Manufacturing,243.086823,Africa,Nigeria
2002,RWA,Art & Collectibles,7.171919,Africa,Rwanda
2002,RWA,Base Metals,47.213673,Africa,Rwanda
2002,RWA,Consumer Goods & Crafts,58.257376,Africa,Rwanda
2002,RWA,Energy & Minerals,1718.937173,Africa,Rwanda
2002,RWA,Industrial Equipment & Technology,3992.675773,Africa,Rwanda
