Country,Sector,Annual Export to the US ($ million),Baseline ETR (%),S301 ETR (%),ETR Change (pp)
Equatorial Guinea,Industrial Equipment & Technology,0.3,14.9,8.2,-6.7
Equatorial Guinea,Agricultural & Foods,0.0,10.0,0.0,-10.0
Equatorial Guinea,Art & Collectibles,0.5,10.0,0.0,-10.0
Equatorial Guinea,Chemical & Pharmaceutical,25.2,10.0,0.0,-10.0
Equatorial Guinea,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Eritrea,Agricultural & Foods,0.0,nan,nan,nan
Eritrea,Base Metals,0.0,nan,nan,nan
Eritrea,Chemical & Pharmaceutical,0.0,nan,nan,nan
Eritrea,Consumer Goods & Crafts,0.0,nan,nan,nan
Eritrea,Industrial Equipment & Technology,0.0,nan,nan,nan
Eritrea,Textile & Apparel Manufacturing,0.0,nan,nan,nan
Eswatini,Base Metals,0.8,21.8,18.2,-3.5
Eswatini,Chemical & Pharmaceutical,2.1,4.7,0.0,-4.7
Eswatini,Industrial Equipment & Technology,4.4,10.8,3.1,-7.7
Eswatini,Agricultural & Foods,19.8,9.0,0.0,-9.0
Eswatini,Consumer Goods & Crafts,1.2,10.0,0.1,-10.0
Eswatini,Art & Collectibles,0.0,10.0,0.0,-10.0
Eswatini,Textile & Apparel Manufacturing,4.4,10.0,0.0,-10.0
Ethiopia,Base Metals,0.0,8.8,8.8,0.0
Ethiopia,Energy & Minerals,0.2,2.2,0.0,-2.2
Ethiopia,Agricultural & Foods,238.2,3.0,0.0,-3.0
Ethiopia,Industrial Equipment & Technology,25.7,18.6,14.5,-4.1
Ethiopia,Chemical & Pharmaceutical,1.1,10.0,0.2,-9.8
Ethiopia,Consumer Goods & Crafts,9.1,9.9,0.0,-9.9
Ethiopia,Art & Collectibles,2.6,10.0,0.0,-10.0
Ethiopia,Textile & Apparel Manufacturing,256.6,10.0,0.0,-10.0
Gabon,Energy & Minerals,183.5,0.1,0.0,-0.1
Gabon,Chemical & Pharmaceutical,3.2,0.9,0.0,-0.9
Gabon,Base Metals,0.3,18.0,12.5,-5.5
Gabon,Consumer Goods & Crafts,31.8,7.9,0.0,-7.9
Gabon,Industrial Equipment & Technology,2.4,12.7,4.8,-7.9
Gabon,Agricultural & Foods,0.1,10.0,0.0,-10.0
Gabon,Art & Collectibles,4.1,10.0,0.0,-10.0
Gabon,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Gambia,Base Metals,0.0,9.8,6.7,-3.0
Gambia,Consumer Goods & Crafts,0.1,4.1,0.0,-4.1
Gambia,Industrial Equipment & Technology,1.5,11.4,6.8,-4.5
Gambia,Chemical & Pharmaceutical,0.1,5.7,0.0,-5.7
Gambia,Agricultural & Foods,1.2,9.8,0.0,-9.8
Gambia,Art & Collectibles,0.0,10.0,0.0,-10.0
Gambia,Energy & Minerals,0.7,10.0,0.0,-10.0
Gambia,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Ghana,Energy & Minerals,1462.5,0.0,0.0,-0.0
Ghana,Agricultural & Foods,317.1,1.8,0.0,-1.8
Ghana,Industrial Equipment & Technology,2.9,11.8,8.3,-3.5
Ghana,Consumer Goods & Crafts,21.1,4.6,0.6,-4.0
Ghana,Chemical & Pharmaceutical,50.5,5.2,0.1,-5.1
Ghana,Base Metals,26.3,10.3,0.4,-9.9
Ghana,Art & Collectibles,11.5,10.0,0.0,-10.0
Ghana,Textile & Apparel Manufacturing,46.6,10.0,0.0,-10.0
Guinea,Chemical & Pharmaceutical,3.0,0.8,0.1,-0.7
Guinea,Consumer Goods & Crafts,2.0,2.7,0.0,-2.7
Guinea,Industrial Equipment & Technology,3.9,12.9,5.7,-7.2
Guinea,Agricultural & Foods,2.7,7.8,0.0,-7.8
Guinea,Base Metals,1.2,10.4,0.7,-9.7
Guinea,Art & Collectibles,0.2,10.0,0.0,-10.0
Guinea,Energy & Minerals,0.0,10.0,0.0,-10.0
Guinea,Textile & Apparel Manufacturing,0.2,10.0,0.0,-10.0
Guinea-Bissau,Agricultural & Foods,0.6,0.0,0.0,0.0
Guinea-Bissau,Industrial Equipment & Technology,0.1,11.9,3.6,-8.2
Guinea-Bissau,Chemical & Pharmaceutical,0.0,10.0,0.0,-10.0
Guinea-Bissau,Consumer Goods & Crafts,0.0,10.0,0.0,-10.0
Guinea-Bissau,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Kenya,Energy & Minerals,30.4,0.1,0.0,-0.1
Kenya,Base Metals,7.3,40.0,39.9,-0.1
Kenya,Agricultural & Foods,149.8,2.3,0.0,-2.3
Kenya,Industrial Equipment & Technology,8.7,11.2,5.7,-5.4
